State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Evan McMullin Independent_Votes,Evan McMullin Independent_Pct,Gary Johnson Nonparty_Votes,Gary Johnson Nonparty_Pct,Richard Duncan Nonparty_Votes,Richard Duncan Nonparty_Pct,Darrell Castle Constitution_Votes,Darrell Castle Constitution_Pct,Evan McMullin Unaffiliated_Votes,Evan McMullin Unaffiliated_Pct,Total_Votes,Winner,Winner_Pct
Georgia,Gordon__GA,3181,16.69,15191,79.69,690,3.62,0,0.0,0,0.0,,,,,,,,,,,19062,Republican,79.69
Georgia,Grady__GA,3013,32.52,6053,65.33,199,2.15,0,0.0,0,0.0,,,,,,,,,,,9265,Republican,65.33
Georgia,Greene__GA,3199,35.87,5490,61.55,230,2.58,0,0.0,0,0.0,,,,,,,,,,,8919,Republican,61.55
Georgia,Gwinnett__GA,166153,50.2,146989,44.41,17808,5.39,0,0.0,0,0.0,,,,,,,,,,,330950,Democrat,50.2
Georgia,Habersham__GA,2483,15.2,13190,80.76,660,4.04,0,0.0,0,0.0,,,,,,,,,,,16333,Republican,80.76
Georgia,Hall__GA,16180,22.74,51733,72.72,3229,4.54,0,0.0,0,0.0,,,,,,,,,,,71142,Republican,72.72
Georgia,Hancock__GA,2701,75.28,843,23.49,44,1.23,0,0.0,0,0.0,,,,,,,,,,,3588,Democrat,75.28
Georgia,Haralson__GA,1475,12.89,9585,83.79,379,3.32,0,0.0,0,0.0,,,,,,,,,,,11439,Republican,83.79
Georgia,Harris__GA,4086,24.76,11936,72.33,480,2.91,0,0.0,0,0.0,,,,,,,,,,,16502,Republican,72.33
Georgia,Hart__GA,2585,25.44,7286,71.71,290,2.85,0,0.0,0,0.0,,,,,,,,,,,10161,Republican,71.71
Georgia,Heard__GA,743,17.51,3370,79.41,131,3.08,0,0.0,0,0.0,,,,,,,,,,,4244,Republican,79.41
Georgia,Henry__GA,50057,50.38,45724,46.02,3586,3.6,0,0.0,0,0.0,,,,,,,,,,,99367,Democrat,50.38
Georgia,Houston__GA,22553,37.34,35430,58.65,2423,4.01,0,0.0,0,0.0,,,,,,,,,,,60406,Republican,58.65
Georgia,Irwin__GA,891,24.28,2716,74.01,63,1.71,0,0.0,0,0.0,,,,,,,,,,,3670,Republican,74.01
Georgia,Jackson__GA,4491,16.38,21784,79.44,1148,4.18,0,0.0,0,0.0,,,,,,,,,,,27423,Republican,79.44
Georgia,Jasper__GA,1544,25.45,4360,71.86,163,2.69,0,0.0,0,0.0,,,,,,,,,,,6067,Republican,71.86
Georgia,Jeff_Davis__GA,901,17.6,4104,80.17,114,2.23,0,0.0,0,0.0,,,,,,,,,,,5119,Republican,80.17
Georgia,Jefferson__GA,3821,54.77,3063,43.91,92,1.32,0,0.0,0,0.0,,,,,,,,,,,6976,Democrat,54.77
Georgia,Jenkins__GA,1123,36.75,1895,62.01,38,1.24,0,0.0,0,0.0,,,,,,,,,,,3056,Republican,62.01
Georgia,Johnson__GA,1136,30.82,2519,68.34,31,0.84,0,0.0,0,0.0,,,,,,,,,,,3686,Republican,68.34
Georgia,Jones__GA,3961,31.47,8305,65.98,321,2.55,0,0.0,0,0.0,,,,,,,,,,,12587,Republican,65.98
Georgia,Lamar__GA,2270,29.68,5190,67.87,187,2.45,0,0.0,0,0.0,,,,,,,,,,,7647,Republican,67.87
Georgia,Lanier__GA,806,28.07,1984,69.1,81,2.83,0,0.0,0,0.0,,,,,,,,,,,2871,Republican,69.1
Georgia,Laurens__GA,6752,34.46,12411,63.33,433,2.21,0,0.0,0,0.0,,,,,,,,,,,19596,Republican,63.33
Georgia,Lee__GA,3170,22.25,10646,74.73,430,3.02,0,0.0,0,0.0,,,,,,,,,,,14246,Republican,74.73
Georgia,Liberty__GA,9556,58.7,6134,37.68,589,3.62,0,0.0,0,0.0,,,,,,,,,,,16279,Democrat,58.7
Georgia,Lincoln__GA,1273,31.03,2759,67.26,70,1.71,0,0.0,0,0.0,,,,,,,,,,,4102,Republican,67.26
Georgia,Long__GA,1360,33.03,2626,63.78,131,3.19,0,0.0,0,0.0,,,,,,,,,,,4117,Republican,63.78
Georgia,Lowndes__GA,15064,39.58,21635,56.84,1364,3.58,0,0.0,0,0.0,,,,,,,,,,,38063,Republican,56.84
Georgia,Lumpkin__GA,2220,17.74,9619,76.85,678,5.41,0,0.0,0,0.0,,,,,,,,,,,12517,Republican,76.85
Georgia,Macon__GA,2705,63.1,1540,35.92,42,0.98,0,0.0,0,0.0,,,,,,,,,,,4287,Democrat,63.1
Georgia,Madison__GA,2425,20.07,9201,76.16,455,3.77,0,0.0,0,0.0,,,,,,,,,,,12081,Republican,76.16
Georgia,Marion__GA,1213,38.03,1921,60.22,56,1.75,0,0.0,0,0.0,,,,,,,,,,,3190,Republican,60.22
Georgia,McDuffie__GA,3699,39.68,5432,58.27,191,2.05,0,0.0,0,0.0,,,,,,,,,,,9322,Republican,58.27
Georgia,McIntosh__GA,2303,38.79,3487,58.73,147,1.48,0,0.0,0,0.0,,,,,,,,,,,5937,Republican,58.73
Georgia,Meriwether__GA,3804,41.13,5222,56.47,222,2.4,0,0.0,0,0.0,,,,,,,,,,,9248,Republican,56.47
Georgia,Miller__GA,623,24.49,1891,74.33,30,1.18,0,0.0,0,0.0,,,,,,,,,,,2544,Republican,74.33
