State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,All Others_Votes,All Others_Pct,Total_Votes,Winner,Winner_Pct
Colorado,Eagle__CO,16943,60.94,10148,36.5,714,2.57,0,0,27805,Democrat,60.94
Colorado,El_Paso__CO,166597,43.73,203933,53.53,10456,2.74,0,0,380986,Republican,53.53
Colorado,Elbert__CO,4768,23.35,15209,74.47,445,2.18,0,0,20422,Republican,74.47
Colorado,Fremont__CO,7526,29.55,17313,67.97,631,2.48,0,0,25470,Republican,67.97
Colorado,Garfield__CO,15128,49.8,14493,47.71,755,2.49,0,0,30376,Democrat,49.8
Colorado,Gilpin__CO,2254,54.58,1729,41.86,147,3.56,0,0,4130,Democrat,54.58
Colorado,Grand__CO,4743,47.99,4822,48.79,319,3.23,0,0,9884,Republican,48.79
Colorado,Gunnison__CO,6887,62.94,3689,33.71,366,3.34,0,0,10942,Democrat,62.94
Colorado,Hinsdale__CO,257,42.34,332,54.7,18,2.97,0,0,607,Republican,54.7
Colorado,Huerfano__CO,1965,44.24,2346,52.81,131,2.95,0,0,4442,Republican,52.81
Colorado,Jackson__CO,173,20.74,634,76.02,27,3.24,0,0,834,Republican,76.02
Colorado,Jefferson__CO,210875,58.3,140505,38.84,10336,2.86,0,0,361716,Democrat,58.3
Colorado,Kiowa__CO,102,11.82,744,86.21,17,1.97,0,0,863,Republican,86.21
Colorado,Kit_Carson__CO,556,15.04,3083,83.37,59,1.6,0,0,3698,Republican,83.37
Colorado,La_Plata__CO,20677,57.93,14024,39.29,991,2.78,0,0,35692,Democrat,57.93
Colorado,Lake__CO,2199,56.2,1557,39.79,157,4.01,0,0,3913,Democrat,56.2
Colorado,Larimer__CO,129376,57.33,89680,39.74,6598,2.92,0,0,225654,Democrat,57.33
Colorado,Las_Animas__CO,3276,42.04,4328,55.54,189,2.43,0,0,7793,Republican,55.54
Colorado,Lincoln__CO,432,16.8,2090,81.29,49,1.91,0,0,2571,Republican,81.29
Colorado,Logan__CO,2098,20.64,7855,77.27,213,2.1,0,0,10166,Republican,77.27
Colorado,Mesa__CO,33573,36.64,55839,60.95,2208,2.41,0,0,91620,Republican,60.95
Colorado,Mineral__CO,317,42.1,417,55.38,19,2.52,0,0,753,Republican,55.38
Colorado,Moffat__CO,1167,17.49,5358,80.32,146,2.19,0,0,6671,Republican,80.32
Colorado,Montezuma__CO,5793,38.27,8972,59.26,374,2.47,0,0,15139,Republican,59.26
Colorado,Montrose__CO,8354,32.6,16704,65.18,568,2.22,0,0,25626,Republican,65.18
Colorado,Morgan__CO,3291,24.44,9830,73,344,2.55,0,0,13465,Republican,73
Colorado,Otero__CO,3164,35.45,5520,61.84,242,2.71,0,0,8926,Republican,61.84
Colorado,Ouray__CO,2442,59.59,1573,38.38,83,2.03,0,0,4098,Democrat,59.59
Colorado,Park__CO,4841,40.18,6828,56.67,380,3.15,0,0,12049,Republican,56.67
Colorado,Phillips__CO,412,17.49,1888,80.17,55,2.34,0,0,2355,Republican,80.17
Colorado,Pitkin__CO,7932,71.02,2992,26.79,245,2.19,0,0,11169,Democrat,71.02
Colorado,Prowers__CO,1227,23.85,3833,74.5,85,1.65,0,0,5145,Republican,74.5
Colorado,Pueblo__CO,39328,46.2,43688,51.33,2104,2.47,0,0,85120,Republican,51.33
Colorado,Rio_Blanco__CO,637,17.25,2988,80.93,67,1.81,0,0,3692,Republican,80.93
Colorado,Rio_Grande__CO,2306,37.23,3743,60.43,145,2.34,0,0,6194,Republican,60.43
Colorado,Routt__CO,10208,62.49,5676,34.75,451,2.76,0,0,16335,Democrat,62.49
Colorado,Saguache__CO,1704,50.1,1577,46.37,120,3.53,0,0,3401,Democrat,50.1
Colorado,San_Juan__CO,376,63.84,188,31.92,25,4.24,0,0,589,Democrat,63.84
Colorado,San_Miguel__CO,3529,73.46,1154,24.02,121,2.52,0,0,4804,Democrat,73.46
Colorado,Sedgwick__CO,283,20.84,1048,77.17,27,1.99,0,0,1358,Republican,77.17
Colorado,Summit__CO,11762,67.04,5244,29.89,539,3.07,0,0,17545,Democrat,67.04
Colorado,Teller__CO,5065,31,10856,66.45,417,2.55,0,0,16338,Republican,66.45
Colorado,Washington__CO,329,11.72,2436,86.81,41,1.46,0,0,2806,Republican,86.81
Colorado,Weld__CO,68752,38.21,106469,59.18,4700,2.61,0,0,179921,Republican,59.18
Colorado,Yuma__CO,758,16.26,3807,81.64,98,2.1,0,0,4663,Republican,81.64
Connecticut,Capitol__CT,285105,60.09,181038,38.16,8302,1.75,0,0,474445,Democrat,60.09
Connecticut,Greater_Bridgeport__CT,83461,60.9,51519,37.59,2068,1.51,0,0,137048,Democrat,60.9
Connecticut,Lower_Connecticut_River_Valley__CT,58360,55.84,44318,42.41,1826,1.75,0,0,104504,Democrat,55.84
Connecticut,Naugatuck_Valley__CT,99237,45.61,115290,52.99,3060,1.41,0,0,217587,Republican,52.99
Connecticut,Northeastern_Connecticut__CT,21165,41.52,29028,56.95,777,1.52,0,0,50970,Republican,56.95
Connecticut,Northwest_Hills__CT,31137,48.58,31944,49.84,1009,1.57,0,0,64090,Republican,49.84
Connecticut,South_Central_Connecticut__CT,156248,58.96,103087,38.9,5673,2.14,0,0,265008,Democrat,58.96
Connecticut,Southeastern_Connecticut__CT,76146,55.58,58392,42.62,2456,1.79,0,0,136994,Democrat,55.58
Connecticut,Western_Connecticut__CT,181194,58.76,122302,39.66,4868,1.58,0,0,308364,Democrat,58.76
Delaware,Kent__DE,44222,50.09,42458,48.09,1609,1.82,0,0,88289,Democrat,50.09
Delaware,New_Castle__DE,180700,65.27,90868,32.82,5291,1.91,0,0,276859,Democrat,65.27
Delaware,Sussex__DE,64836,43.88,81025,54.83,1903,1.29,0,0,147764,Republican,54.83
District of Columbia,Washington__DC,294185,90.28,21076,6.47,10608,3.25,0,0,325869,Democrat,90.28
Florida,Alachua__FL,81578,59.74,52939,38.77,2031,1.49,0,0,136548,Democrat,59.74
Florida,Baker__FL,1982,13.23,12926,86.31,69,0.46,0,0,14977,Republican,86.31
Florida,Bay__FL,25201,25.77,71497,73.12,1079,1.1,0,0,97777,Republican,73.12
Florida,Bradford__FL,2946,21.15,10920,78.38,66,0.47,0,0,13932,Republican,78.38
Florida,Brevard__FL,141233,39.07,216533,59.91,3683,1.02,0,0,361449,Republican,59.91
Florida,Broward__FL,507328,58.01,358952,41.04,8259,0.94,0,0,874539,Democrat,58.01
Florida,Calhoun__FL,1021,15.88,5367,83.49,40,0.62,0,0,6428,Republican,83.49
Florida,Charlotte__FL,40450,32.71,82480,66.69,746,0.6,0,0,123676,Republican,66.69
Florida,Citrus__FL,26276,26.75,71356,72.64,605,0.62,0,0,98237,Republican,72.64
Florida,Clay__FL,37926,29.91,87711,69.17,1174,0.93,0,0,126811,Republican,69.17
Florida,Collier__FL,71720,33.15,143267,66.21,1383,0.64,0,0,216370,Republican,66.21
Florida,Columbia__FL,8250,24.56,25108,74.74,234,0.7,0,0,33592,Republican,74.74
Florida,DeSoto__FL,3525,28.23,8888,71.17,75,0.6,0,0,12488,Republican,71.17
Florida,Dixie__FL,1183,14.52,6920,84.93,45,0.55,0,0,8148,Republican,84.93
Florida,Duval__FL,229365,48.67,236285,50.14,5632,1.2,0,0,471282,Republican,50.14
Florida,Escambia__FL,64601,39.69,96407,59.23,1747,1.07,0,0,162755,Republican,59.23
Florida,Flagler__FL,28431,35.55,51014,63.79,523,0.65,0,0,79968,Republican,63.79
Florida,Franklin__FL,1870,27.67,4831,71.49,57,0.84,0,0,6758,Republican,71.49
Florida,Gadsden__FL,14203,64.95,7495,34.27,170,0.78,0,0,21868,Democrat,64.95
Florida,Gilchrist__FL,1662,15.55,8931,83.58,93,0.87,0,0,10686,Republican,83.58
Florida,Glades__FL,1222,23.15,4034,76.42,23,0.44,0,0,5279,Republican,76.42
Florida,Gulf__FL,1970,22.65,6684,76.85,43,0.49,0,0,8697,Republican,76.85
Florida,Hamilton__FL,1727,30.12,3964,69.14,42,0.73,0,0,5733,Republican,69.14
Florida,Hardee__FL,1751,21.5,6336,77.81,56,0.69,0,0,8143,Republican,77.81
Florida,Hendry__FL,4096,30.43,9253,68.74,111,0.82,0,0,13460,Republican,68.74
Florida,Hernando__FL,34431,31.11,75446,68.16,814,0.74,0,0,110691,Republican,68.16
Florida,Highlands__FL,15227,29.34,36382,70.09,296,0.57,0,0,51905,Republican,70.09
Florida,Hillsborough__FL,321455,47.84,342017,50.9,8521,1.27,0,0,671993,Republican,50.9
Florida,Holmes__FL,882,9.68,8193,89.87,41,0.45,0,0,9116,Republican,89.87
Florida,Indian_River__FL,35654,36.01,62737,63.36,626,0.63,0,0,99017,Republican,63.36
Florida,Jackson__FL,5892,26.66,16074,72.74,132,0.6,0,0,22098,Republican,72.74
Florida,Jefferson__FL,3429,40.33,5011,58.94,62,0.73,0,0,8502,Republican,58.94
Florida,Lafayette__FL,441,11.74,3296,87.75,19,0.51,0,0,3756,Republican,87.75
Florida,Lake__FL,84546,37.28,140500,61.95,1742,0.77,0,0,226788,Republican,61.95
Florida,Lee__FL,139240,35.47,250661,63.86,2631,0.67,0,0,392532,Republican,63.86
Florida,Leon__FL,94520,60.28,60397,38.52,1885,1.2,0,0,156802,Democrat,60.28
Florida,Levy__FL,5994,24.59,18245,74.84,139,0.57,0,0,24378,Republican,74.84
Florida,Liberty__FL,566,16.22,2898,83.04,26,0.74,0,0,3490,Republican,83.04
Florida,Madison__FL,3231,35.29,5874,64.15,51,0.56,0,0,9156,Republican,64.15
Florida,Manatee__FL,86674,37.87,140486,61.39,1700,0.74,0,0,228860,Republican,61.39
Florida,Marion__FL,72436,33.83,140173,65.47,1497,0.7,0,0,214106,Republican,65.47
Florida,Martin__FL,33539,34.12,64121,65.24,631,0.64,0,0,98291,Republican,65.24
Florida,Miami_Dade__FL,480355,43.9,605590,55.35,8160,0.75,0,0,1094105,Republican,55.35
