State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Charles Baldwin Reform_Votes,Charles Baldwin Reform_Pct,Gary Johnson [ 21 ] Libertarian_Votes,Gary Johnson [ 21 ] Libertarian_Pct,Jill Stein [ 21 ] Green_Votes,Jill Stein [ 21 ] Green_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Virgil Goode Constitution_Votes,Virgil Goode Constitution_Pct,Total_Votes,Winner,Winner_Pct
Georgia,Taylor__GA,1572,44.41,1948,55.03,20,0.56,,,,,,,,,,,,,3540,Republican,55.03
Georgia,Telfair__GA,1805,41.61,2480,57.17,53,1.22,,,,,,,,,,,,,4338,Republican,57.17
Georgia,Terrell__GA,2544,57.73,1834,41.62,29,0.65,,,,,,,,,,,,,4407,Democrat,57.73
Georgia,Thomas__GA,7653,40.3,11156,58.74,183,0.96,,,,,,,,,,,,,18992,Republican,58.74
Georgia,Tift__GA,4660,33.42,9185,65.88,97,0.7,,,,,,,,,,,,,13942,Republican,65.88
Georgia,Toombs__GA,2746,29.35,6524,69.72,87,0.93,,,,,,,,,,,,,9357,Republican,69.72
Georgia,Towns__GA,1273,20.39,4876,78.09,95,1.52,,,,,,,,,,,,,6244,Republican,78.09
Georgia,Treutlen__GA,1074,39.04,1652,60.05,25,0.91,,,,,,,,,,,,,2751,Republican,60.05
Georgia,Troup__GA,10547,40.51,15179,58.3,309,1.19,,,,,,,,,,,,,26035,Republican,58.3
Georgia,Turner__GA,1510,42.33,2028,56.85,29,0.82,,,,,,,,,,,,,3567,Republican,56.85
Georgia,Twiggs__GA,2270,53.98,1907,45.35,28,0.67,,,,,,,,,,,,,4205,Democrat,53.98
Georgia,Union__GA,2139,19.25,8773,78.97,197,1.78,,,,,,,,,,,,,11109,Republican,78.97
Georgia,Upson__GA,3959,35.1,7230,64.1,90,0.8,,,,,,,,,,,,,11279,Republican,64.1
Georgia,Walker__GA,5274,23.98,16247,73.86,475,2.16,,,,,,,,,,,,,21996,Republican,73.86
Georgia,Walton__GA,8148,21.63,29036,77.07,493,1.3,,,,,,,,,,,,,37677,Republican,77.07
Georgia,Ware__GA,3900,32.63,7941,66.44,112,0.93,,,,,,,,,,,,,11953,Republican,66.44
Georgia,Warren__GA,1529,60.51,990,39.18,8,0.31,,,,,,,,,,,,,2527,Democrat,60.51
Georgia,Washington__GA,4714,53.46,4035,45.76,68,0.78,,,,,,,,,,,,,8817,Democrat,53.46
Georgia,Wayne__GA,2596,25.23,7557,73.45,135,1.32,,,,,,,,,,,,,10288,Republican,73.45
Georgia,Webster__GA,582,48.99,601,50.59,5,0.42,,,,,,,,,,,,,1188,Republican,50.59
Georgia,Wheeler__GA,772,35.66,1366,63.09,27,1.25,,,,,,,,,,,,,2165,Republican,63.09
Georgia,White__GA,1671,15.88,8651,82.21,201,1.91,,,,,,,,,,,,,10523,Republican,82.21
