State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Ralph Nader [ 5 ] Green_Votes,Ralph Nader [ 5 ] Green_Pct,Pat Buchanan [ 5 ] Reform_Votes,Pat Buchanan [ 5 ] Reform_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Ralph Nader Green_Votes,Ralph Nader Green_Pct,Pat Buchanan Reform_Votes,Pat Buchanan Reform_Pct,Ralph Nader [ 3 ] Write-in_Votes,Ralph Nader [ 3 ] Write-in_Pct,Pat Buchanan [ 3 ] Reform_Votes,Pat Buchanan [ 3 ] Reform_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,Ralph Nader Independent_Votes,Ralph Nader Independent_Pct,Pat Buchanan Independent_Votes,Pat Buchanan Independent_Pct,Harry E. Browne Libertarian_Votes,Harry E. Browne Libertarian_Pct,Ralph Nader [ 1 ] Green_Votes,Ralph Nader [ 1 ] Green_Pct,Harry Browne [ 1 ] Libertarian_Votes,Harry Browne [ 1 ] Libertarian_Pct,Pat Buchanan [ 1 ] Independent_Votes,Pat Buchanan [ 1 ] Independent_Pct,Various candidates [ b ] Other parties_Votes,Various candidates [ b ] Other parties_Pct,Ralph Nader [ 21 ] Green_Votes,Ralph Nader [ 21 ] Green_Pct,Pat Buchanan [ 21 ] Reform_Votes,Pat Buchanan [ 21 ] Reform_Pct,Harry Browne [ 21 ] Libertarian_Votes,Harry Browne [ 21 ] Libertarian_Pct,Various candidates [ 21 ] Other parties_Votes,Various candidates [ 21 ] Other parties_Pct,Ralph Nader Pacific Green_Votes,Ralph Nader Pacific Green_Pct,Harry Browne Libertarian_Votes,Harry Browne Libertarian_Pct,David McReynolds Write-in_Votes,David McReynolds Write-in_Pct,Ralph Nader Not Designated_Votes,Ralph Nader Not Designated_Pct,Howard Phillips Constitution_Votes,Howard Phillips Constitution_Pct,Ralph Nader United Citizens_Votes,Ralph Nader United Citizens_Pct,John Hagelin Natural Law_Votes,John Hagelin Natural Law_Pct,Howard Phillips Independent_Votes,Howard Phillips Independent_Pct,Ralph Nader Green/Progressive_Votes,Ralph Nader Green/Progressive_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Crenshaw__AL,1934,40.33,2793,58.25,68,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4795,Republican,58.25
Alabama,Cullman__AL,9758,33.05,19157,64.88,610,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29525,Republican,64.88
Alabama,Dale__AL,4906,31.04,10593,67.02,307,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15806,Republican,67.02
Alabama,Dallas__AL,10967,59.4,7360,39.86,137,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18464,Democrat,59.4
Alabama,DeKalb__AL,7056,34.78,12827,63.23,402,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20285,Republican,63.23
Alabama,Elmore__AL,6652,27.94,16777,70.48,375,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23804,Republican,70.48
Alabama,Escambia__AL,4523,38.79,6975,59.82,162,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11660,Republican,59.82
Alabama,Etowah__AL,17433,44.3,21087,53.59,828,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39348,Republican,53.59
Alabama,Fayette__AL,3064,39.24,4582,58.68,162,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7808,Republican,58.68
Alabama,Franklin__AL,4793,43.17,6119,55.11,191,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11103,Republican,55.11
Alabama,Geneva__AL,2769,28.97,6588,68.92,202,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9559,Republican,68.92
Alabama,Greene__AL,3504,79.71,850,19.34,42,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4396,Democrat,79.71
Alabama,Hale__AL,4652,60.17,2984,38.6,95,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7731,Democrat,60.17
Alabama,Henry__AL,2782,40.13,4054,58.48,96,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6932,Republican,58.48
Alabama,Houston__AL,9412,29.36,22150,69.1,495,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32057,Republican,69.1
Alabama,Jackson__AL,9066,50.63,8475,47.33,365,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17906,Democrat,50.63
Alabama,Jefferson__AL,129889,47.45,138491,50.59,5383,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273763,Republican,50.59
Alabama,Lamar__AL,2653,36.6,4470,61.66,126,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7249,Republican,61.66
Alabama,Lauderdale__AL,13875,43.17,17478,54.39,784,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32137,Republican,54.39
Alabama,Lawrence__AL,6296,51.67,5671,46.54,218,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12185,Democrat,51.67
Alabama,Lee__AL,14574,38.09,22433,58.63,1257,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38264,Republican,58.63
Alabama,Limestone__AL,8992,38.05,14204,60.1,438,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23634,Republican,60.1
Alabama,Lowndes__AL,4557,72.99,1638,26.24,48,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243,Democrat,72.99
Alabama,Macon__AL,7665,86.8,1091,12.35,75,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8831,Democrat,86.8
Alabama,Madison__AL,48199,42.53,62151,54.85,2968,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113318,Republican,54.85
Alabama,Marengo__AL,4841,50.39,4690,48.81,77,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9608,Democrat,50.39
Alabama,Marion__AL,4600,39.13,6910,58.78,246,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11756,Republican,58.78
Alabama,Marshall__AL,10381,37.09,17084,61.04,524,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27989,Republican,61.04
Alabama,Mobile__AL,58640,41.96,78162,55.93,2943,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139745,Republican,55.93
Alabama,Monroe__AL,3741,41.79,5153,57.57,57,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8951,Republican,57.57
Alabama,Montgomery__AL,40371,50.26,38827,48.34,1130,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80328,Democrat,50.26
Alabama,Morgan__AL,16060,37.63,25774,60.39,847,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42681,Republican,60.39
Alabama,Perry__AL,4020,69.47,1732,29.93,35,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5787,Democrat,69.47
Alabama,Pickens__AL,4143,48.51,4306,50.42,91,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8540,Republican,50.42
Alabama,Pike__AL,4357,41.32,6058,57.45,129,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10544,Republican,57.45
Alabama,Randolph__AL,3094,39.07,4666,58.92,159,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7919,Republican,58.92
Alabama,Russell__AL,8396,56.83,6198,41.95,181,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14775,Democrat,56.83
Alabama,Shelby__AL,13183,21.22,47651,76.7,1294,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62128,Republican,76.7
Alabama,St__Clair__AL,6485,26.92,17117,71.05,488,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24090,Republican,71.05
Alabama,Sumter__AL,4415,72.52,1629,26.76,44,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088,Democrat,72.52
Alabama,Talladega__AL,11264,44.26,13807,54.25,380,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25451,Republican,54.25
Alabama,Tallapoosa__AL,6183,38.04,9805,60.33,265,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16253,Republican,60.33
Alabama,Tuscaloosa__AL,24614,40.95,34003,56.56,1497,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60114,Republican,56.56
Alabama,Walker__AL,11621,45.32,13486,52.6,534,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25641,Republican,52.6
Alabama,Washington__AL,3386,44.58,4117,54.2,93,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7596,Republican,54.2
Alabama,Wilcox__AL,3444,67.19,1661,32.4,21,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5126,Democrat,67.19
Alabama,Winston__AL,2692,28.89,6413,68.82,213,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9318,Republican,68.82
Arizona,Apache__AZ,13025,66.95,5947,30.57,0,0.0,245,1.26,135,0.69,104,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19456,Democrat,66.95
Arizona,Cochise__AZ,13360,40.19,18180,54.69,0,0.0,1113,3.35,315,0.95,273,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33241,Republican,54.69
