State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Lester Maddox [ 5 ] Alabama Conservative_Votes,Lester Maddox [ 5 ] Alabama Conservative_Pct,Benjamin Bubar [ 5 ] Alabama Prohibition_Votes,Benjamin Bubar [ 5 ] Alabama Prohibition_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Eugene McCarthy Independent_Votes,Eugene McCarthy Independent_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Roger MacBride Libertarian_Votes,Roger MacBride Libertarian_Pct,Lester Maddox [ 3 ] American Independent_Votes,Lester Maddox [ 3 ] American Independent_Pct,Roger MacBride [ 3 ] Libertarian_Votes,Roger MacBride [ 3 ] Libertarian_Pct,Lyndon LaRouche [ 3 ] U.S. Labor_Votes,Lyndon LaRouche [ 3 ] U.S. Labor_Pct,Others_Votes,Others_Pct,Eugene McCarthy Nominated By Petition_Votes,Eugene McCarthy Nominated By Petition_Pct,Thomas Anderson American_Votes,Thomas Anderson American_Pct,Lester Maddox American_Votes,Lester Maddox American_Pct,Gus Hall Communist_Votes,Gus Hall Communist_Pct,Eugene McCarthy Nominated_Votes,Eugene McCarthy Nominated_Pct,Benjamin Bubar Prohibition_Votes,Benjamin Bubar Prohibition_Pct,Thomas Anderson Mississippi American_Votes,Thomas Anderson Mississippi American_Pct,Lester Maddox Independent_Votes,Lester Maddox Independent_Pct,Peter Camejo Independent_Votes,Peter Camejo Independent_Pct,Roger MacBride Independent_Votes,Roger MacBride Independent_Pct,Thomas Anderson Americanist_Votes,Thomas Anderson Americanist_Pct,None of These Candidates_Votes,None of These Candidates_Pct,Lester Maddox American Independent_Votes,Lester Maddox American Independent_Pct,Eugene McCarthy McCarthy ‘76_Votes,Eugene McCarthy McCarthy ‘76_Pct,Roger MacBride [ 3 ] Free Libertarian_Votes,Roger MacBride [ 3 ] Free Libertarian_Pct,Gus Hall [ 3 ] Communist_Votes,Gus Hall [ 3 ] Communist_Pct,Peter Camejo [ 3 ] Socialist Workers_Votes,Peter Camejo [ 3 ] Socialist Workers_Pct,Lyndon LaRouche U.S. Labor_Votes,Lyndon LaRouche U.S. Labor_Pct,Eugene McCarthy [ 6 ] Not Designated_Votes,Eugene McCarthy [ 6 ] Not Designated_Pct,Lester Maddox [ 6 ] American_Votes,Lester Maddox [ 6 ] American_Pct,Various candidates [ 6 ] Other parties_Votes,Various candidates [ 6 ] Other parties_Pct,Various candidates [ 4 ] Write-ins_Votes,Various candidates [ 4 ] Write-ins_Pct,Lester Maddox Constitutional_Votes,Lester Maddox Constitutional_Pct,Thomas Anderson Independent_Votes,Thomas Anderson Independent_Pct,Gus Hall Independent_Votes,Gus Hall Independent_Pct,Eugene McCarthy [ 7 ] “McCarthy ‘76”_Votes,Eugene McCarthy [ 7 ] “McCarthy ‘76”_Pct,Peter Camejo [ 7 ] Socialist Workers_Votes,Peter Camejo [ 7 ] Socialist Workers_Pct,Various candidates [ 7 ] Other parties_Votes,Various candidates [ 7 ] Other parties_Pct,Peter Camejo Socialist Workers_Votes,Peter Camejo Socialist Workers_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Clarke__AL,4737,52.6,4126,45.81,71,0.79,58,0.64,14,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9006,Democrat,52.6
Alabama,Clay__AL,2946,60.64,1883,38.76,17,0.35,9,0.18,20,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4858,Democrat,60.64
Alabama,Cleburne__AL,2490,62.55,1436,36.07,39,0.97,16,0.4,39,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3981,Democrat,62.55
Alabama,Coffee__AL,7844,62.0,4683,37.02,64,0.51,42,0.33,18,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12651,Democrat,62.0
Alabama,Colbert__AL,11996,71.23,4471,26.55,167,0.99,174,1.03,34,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16842,Democrat,71.23
Alabama,Conecuh__AL,3086,61.97,1812,36.39,32,0.64,13,0.26,37,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4980,Democrat,61.97
Alabama,Coosa__AL,2533,67.26,1196,31.76,18,0.48,14,0.37,5,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3766,Democrat,67.26
Alabama,Covington__AL,7081,57.93,4977,40.71,73,0.6,9,0.07,84,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12224,Democrat,57.93
Alabama,Crenshaw__AL,3372,64.03,1801,34.2,69,1.31,5,0.09,19,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266,Democrat,64.03
Alabama,Cullman__AL,12961,64.63,6899,34.4,109,0.54,26,0.13,60,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20055,Democrat,64.63
Alabama,Dale__AL,6346,55.03,4996,43.33,103,0.89,69,0.6,17,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11531,Democrat,55.03
Alabama,Dallas__AL,8866,54.19,7144,43.66,161,0.98,159,0.97,31,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16361,Democrat,54.19
Alabama,DeKalb__AL,9759,59.37,6597,40.14,30,0.18,41,0.25,10,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16437,Democrat,59.37
Alabama,Elmore__AL,6646,49.2,6551,48.5,157,1.16,121,0.9,33,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13508,Democrat,49.2
Alabama,Escambia__AL,5957,53.39,4934,44.22,58,0.52,17,0.15,191,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11157,Democrat,53.39
Alabama,Etowah__AL,25020,69.99,10333,28.9,209,0.58,47,0.13,141,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35750,Democrat,69.99
Alabama,Fayette__AL,4076,64.83,2165,34.44,20,0.32,13,0.21,13,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6287,Democrat,64.83
Alabama,Franklin__AL,6279,64.59,3345,34.41,36,0.37,51,0.52,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9721,Democrat,64.59
Alabama,Geneva__AL,5983,68.46,2663,30.47,51,0.58,4,0.05,38,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8739,Democrat,68.46
Alabama,Greene__AL,2900,75.96,903,23.65,7,0.18,3,0.08,5,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818,Democrat,75.96
Alabama,Hale__AL,3236,59.99,2034,37.71,61,1.13,44,0.82,19,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5394,Democrat,59.99
Alabama,Henry__AL,3144,60.07,2052,39.21,26,0.5,7,0.13,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5234,Democrat,60.07
Alabama,Houston__AL,8787,44.52,10672,54.07,136,0.69,24,0.12,119,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19738,Republican,54.07
Alabama,Jackson__AL,10989,71.71,3913,25.53,290,1.89,111,0.72,22,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15325,Democrat,71.71
Alabama,Jefferson__AL,99531,45.85,113590,52.32,1754,0.81,1854,0.85,361,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217090,Republican,52.32
Alabama,Lamar__AL,3860,67.44,1739,30.38,107,1.87,9,0.16,9,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5724,Democrat,67.44
Alabama,Lauderdale__AL,15549,67.06,7226,31.17,188,0.81,182,0.78,40,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23185,Democrat,67.06
Alabama,Lawrence__AL,6810,82.21,1415,17.08,31,0.37,4,0.05,24,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8284,Democrat,82.21
Alabama,Lee__AL,8427,44.98,9884,52.75,131,0.7,216,1.15,79,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18737,Republican,52.75
Alabama,Limestone__AL,8803,73.36,2997,24.98,88,0.73,87,0.73,25,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,Democrat,73.36
Alabama,Lowndes__AL,3732,68.33,1621,29.68,52,0.95,36,0.66,21,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5462,Democrat,68.33
Alabama,Macon__AL,5915,79.41,1387,18.62,76,1.02,39,0.52,32,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7449,Democrat,79.41
Alabama,Madison__AL,35497,61.96,20959,36.59,311,0.54,312,0.54,208,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57287,Democrat,61.96
Alabama,Marengo__AL,4731,54.04,3841,43.87,62,0.71,95,1.09,26,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755,Democrat,54.04
Alabama,Marion__AL,6244,67.12,3036,32.63,8,0.09,11,0.12,4,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9303,Democrat,67.12
